name_a,name_b,identity,len_a,len_b
6B8X_single_001_density_input.pdb,1a5yA00_13.pdb,0.487,298,283
6B8X_single_001_density_input.pdb,1a5yA00_7.pdb,0.469,298,283
6B8X_single_001_density_input.pdb,1a5yA00_23.pdb,0.445,298,283
6B8X_single_001_density_input.pdb,4ikcA00_24.pdb,0.361,298,274
6B8X_single_001_density_input.pdb,4qunA00_2.pdb,0.381,298,283
6B8X_single_001_density_input.pdb,1wchA00_20.pdb,0.395,298,308
6B8X_single_001_density_input.pdb,1wchA00_8.pdb,0.398,298,308
6B8X_single_001_density_input.pdb,4qunA00_21.pdb,0.353,298,283
6B8X_single_001_density_input.pdb,5awxA00_22.pdb,0.356,298,283
6B8X_single_001_density_input.pdb,1wchA00_4.pdb,0.388,298,308
6B8X_single_001_density_input.pdb,5awxA00_7.pdb,0.347,298,283
6B8X_single_001_density_input.pdb,5awxA00_28.pdb,0.332,298,283
6B8X_single_001_density_input.pdb,2bzlA00_27.pdb,0.35,298,284
6B8X_single_001_density_input.pdb,4ikcA00_12.pdb,0.357,298,274
6B8X_single_001_density_input.pdb,2i1yA00_25.pdb,0.38,298,287
6B8X_single_001_density_input.pdb,1wchA00_28.pdb,0.367,298,308
6B8X_single_001_density_input.pdb,4qunA00_23.pdb,0.381,298,283
6B8X_single_001_density_input.pdb,1wchA00_2.pdb,0.391,298,308
6B8X_single_001_density_input.pdb,1wchA00_30.pdb,0.333,298,308
6B8X_single_001_density_input.pdb,1wchA00_5.pdb,0.368,298,308
6B8X_single_001_density_input.pdb,2i1yA00_12.pdb,0.365,298,287
6B8X_single_001_density_input.pdb,2i1yA00_30.pdb,0.396,298,287
6B8X_single_001_density_input.pdb,1wchA00_12.pdb,0.357,298,308
6B8X_single_001_density_input.pdb,4ikcA00_29.pdb,0.356,298,274
6B8X_single_001_density_input.pdb,4qunA00_28.pdb,0.378,298,283
6B8X_single_001_density_input.pdb,4ikcA00_20.pdb,0.337,298,274
6B8X_single_001_density_input.pdb,5awxA00_4.pdb,0.34,298,283
6B8X_single_001_density_input.pdb,2i1yA00_20.pdb,0.362,298,287
6B8X_single_001_density_input.pdb,2i1yA00_13.pdb,0.38,298,287
6B8X_single_001_density_input.pdb,1wchA00_29.pdb,0.342,298,308
6B8X_single_001_density_input.pdb,4qunA00_8.pdb,0.362,298,283
6B8X_single_001_density_input.pdb,5awxA00_0.pdb,0.345,298,283
6B8X_single_001_density_input.pdb,1wchA00_3.pdb,0.362,298,308
6B8X_single_001_density_input.pdb,4ikcA00_28.pdb,0.333,298,274
6B8X_single_001_density_input.pdb,2i1yA00_3.pdb,0.369,298,287
6B8X_single_001_density_input.pdb,1wchA00_26.pdb,0.377,298,308
6B8X_single_001_density_input.pdb,5awxA00_1.pdb,0.328,298,283
6B8X_single_001_density_input.pdb,1wchA00_23.pdb,0.379,298,308
6B8X_single_001_density_input.pdb,4ikcA00_1.pdb,0.333,298,274
6B8X_single_001_density_input.pdb,4qunA00_17.pdb,0.357,298,283
6B8X_single_001_density_input.pdb,4qunA00_9.pdb,0.356,298,283
6B8X_single_001_density_input.pdb,1wchA00_7.pdb,0.37,298,308
6B8X_single_001_density_input.pdb,5awxA00_29.pdb,0.336,298,283
6B8X_single_001_density_input.pdb,4ge6A00_6.pdb,0.335,298,303
6B8X_single_001_density_input.pdb,1wchA00_17.pdb,0.362,298,308
6B8X_single_001_density_input.pdb,5awxA00_23.pdb,0.32,298,283
6B8X_single_001_density_input.pdb,5awxA00_13.pdb,0.332,298,283
6B8X_single_001_density_input.pdb,4ge6A00_27.pdb,0.357,298,303
6B8X_single_001_density_input.pdb,1wchA00_0.pdb,0.362,298,308
6B8X_single_001_density_input.pdb,4ikcA00_15.pdb,0.364,298,274
6B8X_single_001_density_input.pdb,4qunA00_31.pdb,0.379,298,283
6B8X_single_001_density_input.pdb,1wchA00_10.pdb,0.366,298,308
6B8X_single_001_density_input.pdb,1wchA00_22.pdb,0.384,298,308
6B8X_single_001_density_input.pdb,4qunA00_16.pdb,0.363,298,283
6B8X_single_001_density_input.pdb,4qunA00_11.pdb,0.354,298,283
6B8X_single_001_density_input.pdb,1wchA00_13.pdb,0.358,298,308
6B8X_single_001_density_input.pdb,4ikcA00_23.pdb,0.343,298,274
6B8X_single_001_density_input.pdb,4ge6A00_22.pdb,0.34,298,303
6B8X_single_001_density_input.pdb,4ikcA00_18.pdb,0.319,298,274
6B8X_single_001_density_input.pdb,5awxA00_14.pdb,0.328,298,283
6B8X_single_001_density_input.pdb,2bzlA00_14.pdb,0.349,298,284
6B8X_single_001_density_input.pdb,5awxA00_27.pdb,0.338,298,283
6B8X_single_001_density_input.pdb,4ikcA00_30.pdb,0.314,298,274
6B8X_single_001_density_input.pdb,5awxA00_15.pdb,0.328,298,283
6B8X_single_001_density_input.pdb,5awxA00_30.pdb,0.338,298,283
6B8X_single_001_density_input.pdb,4ikcA00_0.pdb,0.326,298,274
6B8X_single_001_density_input.pdb,5awxA00_19.pdb,0.339,298,283
6B8X_single_001_density_input.pdb,5awxA00_24.pdb,0.357,298,283
6B8X_single_001_density_input.pdb,2bzlA00_4.pdb,0.338,298,284
6B8X_single_001_density_input.pdb,2i1yA00_6.pdb,0.368,298,287
6B8X_single_001_density_input.pdb,4ikcA00_13.pdb,0.325,298,274
6B8X_single_001_density_input.pdb,1wchA00_21.pdb,0.364,298,308
6B8X_single_001_density_input.pdb,4qunA00_30.pdb,0.342,298,283
6B8X_single_001_density_input.pdb,5awxA00_9.pdb,0.318,298,283
6B8X_single_001_density_input.pdb,4qunA00_14.pdb,0.39,298,283
6B8X_single_001_density_input.pdb,4qunA00_10.pdb,0.356,298,283
6B8X_single_001_density_input.pdb,2bzlA00_6.pdb,0.34,298,284
6B8X_single_001_density_input.pdb,1wchA00_15.pdb,0.357,298,308
6B8X_single_001_density_input.pdb,1wchA00_31.pdb,0.35,298,308
6B8X_single_001_density_input.pdb,2i1yA00_28.pdb,0.355,298,287
6B8X_single_001_density_input.pdb,4ikcA00_27.pdb,0.325,298,274
6B8X_single_001_density_input.pdb,5awxA00_26.pdb,0.33,298,283
6B8X_single_001_density_input.pdb,5awxA00_10.pdb,0.321,298,283
6B8X_single_001_density_input.pdb,2i1yA00_18.pdb,0.377,298,287
6B8X_single_001_density_input.pdb,2bzlA00_19.pdb,0.333,298,284
6B8X_single_001_density_input.pdb,2bzlA00_29.pdb,0.332,298,284
6B8X_single_001_density_input.pdb,4qunA00_22.pdb,0.345,298,283
6B8X_single_001_density_input.pdb,4qunA00_24.pdb,0.338,298,283
6B8X_single_001_density_input.pdb,2bzlA00_24.pdb,0.344,298,284
6B8X_single_001_density_input.pdb,1wchA00_24.pdb,0.363,298,308
6B8X_single_001_density_input.pdb,2i1yA00_9.pdb,0.373,298,287
6B8X_single_001_density_input.pdb,5awxA00_17.pdb,0.336,298,283
6B8X_single_001_density_input.pdb,4ikcA00_16.pdb,0.325,298,274
6B8X_single_001_density_input.pdb,4ikcA00_26.pdb,0.306,298,274
6B8X_single_001_density_input.pdb,4ge6A00_25.pdb,0.326,298,303
6B8X_single_001_density_input.pdb,4qunA00_19.pdb,0.338,298,283
6B8X_single_001_density_input.pdb,2bzlA00_0.pdb,0.343,298,284
6B8X_single_001_density_input.pdb,2bzlA00_11.pdb,0.334,298,284
6B8X_single_001_density_input.pdb,1wchA00_11.pdb,0.361,298,308
6B8X_single_001_density_input.pdb,4qunA00_25.pdb,0.374,298,283
6B8X_single_001_density_input.pdb,5awxA00_3.pdb,0.318,298,283
6B8X_single_001_density_input.pdb,5awxA00_11.pdb,0.323,298,283
6B8X_single_001_density_input.pdb,4qunA00_12.pdb,0.332,298,283
6B8X_single_001_density_input.pdb,1wchA00_1.pdb,0.355,298,308
6B8X_single_001_density_input.pdb,2bzlA00_15.pdb,0.328,298,284
6B8X_single_001_density_input.pdb,4ge6A00_31.pdb,0.332,298,303
6B8X_single_001_density_input.pdb,4ikcA00_14.pdb,0.306,298,274
6B8X_single_001_density_input.pdb,5awxA00_12.pdb,0.346,298,283
6B8X_single_001_density_input.pdb,4ikcA00_31.pdb,0.318,298,274
6B8X_single_001_density_input.pdb,5awxA00_18.pdb,0.335,298,283
6B8X_single_001_density_input.pdb,4qunA00_3.pdb,0.341,298,283
6B8X_single_001_density_input.pdb,5awxA00_31.pdb,0.342,298,283
6B8X_single_001_density_input.pdb,4qunA00_4.pdb,0.355,298,283
6B8X_single_001_density_input.pdb,4ge6A00_30.pdb,0.347,298,303
6B8X_single_001_density_input.pdb,4ikcA00_5.pdb,0.338,298,274
6B8X_single_001_density_input.pdb,5awxA00_2.pdb,0.323,298,283
6B8X_single_001_density_input.pdb,4qunA00_29.pdb,0.351,298,283
6B8X_single_001_density_input.pdb,4qunA00_7.pdb,0.368,298,283
6B8X_single_001_density_input.pdb,2bzlA00_5.pdb,0.344,298,284
6B8X_single_001_density_input.pdb,2i1yA00_15.pdb,0.378,298,287
6B8X_single_001_density_input.pdb,4ge6A00_2.pdb,0.315,298,303
6B8X_single_001_density_input.pdb,4qunA00_1.pdb,0.34,298,283
6B8X_single_001_density_input.pdb,2i1yA00_2.pdb,0.343,298,287
6B8X_single_001_density_input.pdb,1wchA00_9.pdb,0.359,298,308
6B8X_single_001_density_input.pdb,4ikcA00_11.pdb,0.323,298,274
6B8X_single_001_density_input.pdb,4qunA00_26.pdb,0.353,298,283
6B8X_single_001_density_input.pdb,2bzlA00_16.pdb,0.334,298,284
6B8X_single_001_density_input.pdb,2i1yA00_14.pdb,0.347,298,287
6B8X_single_001_density_input.pdb,2i1yA00_1.pdb,0.35,298,287
6B8X_single_001_density_input.pdb,4ikcA00_2.pdb,0.323,298,274
6B8X_single_001_density_input.pdb,5awxA00_16.pdb,0.312,298,283
6B8X_single_001_density_input.pdb,2bzlA00_20.pdb,0.341,298,284
6B8X_single_001_density_input.pdb,2bzlA00_17.pdb,0.353,298,284
6B8X_single_001_density_input.pdb,2i1yA00_31.pdb,0.368,298,287
6B8X_single_001_density_input.pdb,4ikcA00_7.pdb,0.327,298,274
6B8X_single_001_density_input.pdb,5awxA00_21.pdb,0.318,298,283
6B8X_single_001_density_input.pdb,4ge6A00_11.pdb,0.318,298,303
6B8X_single_001_density_input.pdb,1wchA00_14.pdb,0.334,298,308
6B8X_single_001_density_input.pdb,4qunA00_13.pdb,0.366,298,283
6B8X_single_001_density_input.pdb,2bzlA00_1.pdb,0.324,298,284
6B8X_single_001_density_input.pdb,2i1yA00_26.pdb,0.344,298,287
6B8X_single_001_density_input.pdb,4ge6A00_9.pdb,0.333,298,303
6B8X_single_001_density_input.pdb,2bzlA00_28.pdb,0.34,298,284
6B8X_single_001_density_input.pdb,2bzlA00_3.pdb,0.32,298,284
6B8X_single_001_density_input.pdb,2bzlA00_10.pdb,0.34,298,284
6B8X_single_001_density_input.pdb,4ikcA00_21.pdb,0.31,298,274
6B8X_single_001_density_input.pdb,4qunA00_27.pdb,0.356,298,283
6B8X_single_001_density_input.pdb,4qunA00_5.pdb,0.328,298,283
6B8X_single_001_density_input.pdb,2bzlA00_18.pdb,0.322,298,284
6B8X_single_001_density_input.pdb,2bzlA00_8.pdb,0.322,298,284
6B8X_single_001_density_input.pdb,2i1yA00_21.pdb,0.362,298,287
6B8X_single_001_density_input.pdb,4ge6A00_13.pdb,0.364,298,303
6B8X_single_001_density_input.pdb,4ikcA00_10.pdb,0.302,298,274
6B8X_single_001_density_input.pdb,5awxA00_20.pdb,0.31,298,283
6B8X_single_001_density_input.pdb,1wchA00_25.pdb,0.338,298,308
6B8X_single_001_density_input.pdb,4ikcA00_8.pdb,0.306,298,274
6B8X_single_001_density_input.pdb,2bzlA00_31.pdb,0.347,298,284
6B8X_single_001_density_input.pdb,1wchA00_27.pdb,0.338,298,308
6B8X_single_001_density_input.pdb,4ikcA00_3.pdb,0.31,298,274
6B8X_single_001_density_input.pdb,4qunA00_20.pdb,0.343,298,283
6B8X_single_001_density_input.pdb,2i1yA00_17.pdb,0.347,298,287
6B8X_single_001_density_input.pdb,1wchA00_6.pdb,0.332,298,308
6B8X_single_001_density_input.pdb,2bzlA00_9.pdb,0.314,298,284
6B8X_single_001_density_input.pdb,2bzlA00_2.pdb,0.318,298,284
6B8X_single_001_density_input.pdb,1wchA00_18.pdb,0.365,298,308
6B8X_single_001_density_input.pdb,4ikcA00_4.pdb,0.298,298,274
6B8X_single_001_density_input.pdb,4qunA00_18.pdb,0.356,298,283
6B8X_single_001_density_input.pdb,4ge6A00_18.pdb,0.329,298,303
6B8X_single_001_density_input.pdb,5awxA00_25.pdb,0.312,298,283
6B8X_single_001_density_input.pdb,2bzlA00_22.pdb,0.321,298,284
6B8X_single_001_density_input.pdb,4ge6A00_1.pdb,0.341,298,303
6B8X_single_001_density_input.pdb,4ikcA00_25.pdb,0.302,298,274
6B8X_single_001_density_input.pdb,2bzlA00_25.pdb,0.314,298,284
6B8X_single_001_density_input.pdb,5awxA00_8.pdb,0.303,298,283
6B8X_single_001_density_input.pdb,4ge6A00_17.pdb,0.351,298,303
6B8X_single_001_density_input.pdb,1wchA00_16.pdb,0.344,298,308
6B8X_single_001_density_input.pdb,2bzlA00_12.pdb,0.333,298,284
6B8X_single_001_density_input.pdb,2oc3A00_26.pdb,0.318,298,279
6B8X_single_001_density_input.pdb,2i1yA00_16.pdb,0.36,298,287
6B8X_single_001_density_input.pdb,2i1yA00_7.pdb,0.336,298,287
6B8X_single_001_density_input.pdb,4ikcA00_17.pdb,0.313,298,274
6B8X_single_001_density_input.pdb,4ge6A00_0.pdb,0.318,298,303
6B8X_single_001_density_input.pdb,4ge6A00_12.pdb,0.329,298,303
6B8X_single_001_density_input.pdb,2bzlA00_21.pdb,0.305,298,284
6B8X_single_001_density_input.pdb,1zc0A00_20.pdb,0.352,298,286
6B8X_single_001_density_input.pdb,2oc3A00_1.pdb,0.328,298,279
6B8X_single_001_density_input.pdb,4ge6A00_29.pdb,0.325,298,303
6B8X_single_001_density_input.pdb,2bzlA00_26.pdb,0.314,298,284
6B8X_single_001_density_input.pdb,1zc0A00_17.pdb,0.333,298,286
6B8X_single_001_density_input.pdb,4ge6A00_20.pdb,0.318,298,303
6B8X_single_001_density_input.pdb,2bzlA00_30.pdb,0.313,298,284
6B8X_single_001_density_input.pdb,2oc3A00_18.pdb,0.326,298,279
6B8X_single_001_density_input.pdb,2bzlA00_13.pdb,0.315,298,284
6B8X_single_001_density_input.pdb,4ikcA00_19.pdb,0.296,298,274
6B8X_single_001_density_input.pdb,4ikcA00_9.pdb,0.299,298,274
6B8X_single_001_density_input.pdb,4ge6A00_15.pdb,0.304,298,303
6B8X_single_001_density_input.pdb,4ge6A00_26.pdb,0.318,298,303
6B8X_single_001_density_input.pdb,4ge6A00_8.pdb,0.336,298,303
6B8X_single_001_density_input.pdb,2i1yA00_8.pdb,0.328,298,287
6B8X_single_001_density_input.pdb,4ge6A00_4.pdb,0.355,298,303
6B8X_single_001_density_input.pdb,5awxA00_5.pdb,0.312,298,283
6B8X_single_001_density_input.pdb,1wchA00_19.pdb,0.348,298,308
6B8X_single_001_density_input.pdb,2oc3A00_7.pdb,0.318,298,279
6B8X_single_001_density_input.pdb,2bzlA00_23.pdb,0.317,298,284
6B8X_single_001_density_input.pdb,4ge6A00_16.pdb,0.307,298,303
6B8X_single_001_density_input.pdb,4ge6A00_3.pdb,0.311,298,303
6B8X_single_001_density_input.pdb,4ge6A00_10.pdb,0.304,298,303
6B8X_single_001_density_input.pdb,4ge6A00_21.pdb,0.304,298,303
6B8X_single_001_density_input.pdb,5awxA00_6.pdb,0.299,298,283
6B8X_single_001_density_input.pdb,4ge6A00_19.pdb,0.325,298,303
6B8X_single_001_density_input.pdb,4ge6A00_28.pdb,0.295,298,303
6B8X_single_001_density_input.pdb,4ge6A00_5.pdb,0.32,298,303
6B8X_single_001_density_input.pdb,2oc3A00_20.pdb,0.313,298,279
6B8X_single_001_density_input.pdb,2oc3A00_30.pdb,0.31,298,279
6B8X_single_001_density_input.pdb,2oc3A00_25.pdb,0.313,298,279
6B8X_single_001_density_input.pdb,2oc3A00_6.pdb,0.304,298,279
6B8X_single_001_density_input.pdb,4ikcA00_6.pdb,0.298,298,274
6B8X_single_001_density_input.pdb,4ge6A00_7.pdb,0.293,298,303
6B8X_single_001_density_input.pdb,2oc3A00_22.pdb,0.304,298,279
6B8X_single_001_density_input.pdb,1zc0A00_22.pdb,0.305,298,286
6B8X_single_001_density_input.pdb,2oc3A00_4.pdb,0.304,298,279
6B8X_single_001_density_input.pdb,2oc3A00_9.pdb,0.294,298,279
6B8X_single_001_density_input.pdb,1zc0A00_31.pdb,0.329,298,286
6B8X_single_001_density_input.pdb,1zc0A00_27.pdb,0.308,298,286
6B8X_single_001_density_input.pdb,4ge6A00_23.pdb,0.316,298,303
6B8X_single_001_density_input.pdb,2oc3A00_19.pdb,0.301,298,279
6B8X_single_001_density_input.pdb,1zc0A00_24.pdb,0.308,298,286
6B8X_single_001_density_input.pdb,2oc3A00_27.pdb,0.303,298,279
6B8X_single_001_density_input.pdb,2bzlA00_7.pdb,0.32,298,284
6B8X_single_001_density_input.pdb,1zc0A00_0.pdb,0.316,298,286
6B8X_single_001_density_input.pdb,1zc0A00_3.pdb,0.31,298,286
6B8X_single_001_density_input.pdb,1zc0A00_12.pdb,0.33,298,286
6B8X_single_001_density_input.pdb,2oc3A00_12.pdb,0.291,298,279
6B8X_single_001_density_input.pdb,1zc0A00_14.pdb,0.331,298,286
6B8X_single_001_density_input.pdb,1zc0A00_4.pdb,0.341,298,286
6B8X_single_001_density_input.pdb,2oc3A00_0.pdb,0.304,298,279
6B8X_single_001_density_input.pdb,1zc0A00_5.pdb,0.305,298,286
6B8X_single_001_density_input.pdb,2oc3A00_11.pdb,0.274,298,279
6B8X_single_001_density_input.pdb,1zc0A00_2.pdb,0.32,298,286
6B8X_single_001_density_input.pdb,2oc3A00_17.pdb,0.303,298,279
6B8X_single_001_density_input.pdb,2oc3A00_23.pdb,0.299,298,279
6B8X_single_001_density_input.pdb,2oc3A00_3.pdb,0.293,298,279
6B8X_single_001_density_input.pdb,2oc3A00_13.pdb,0.289,298,279
6B8X_single_001_density_input.pdb,1zc0A00_7.pdb,0.327,298,286
6B8X_single_001_density_input.pdb,2oc3A00_2.pdb,0.295,298,279
6B8X_single_001_density_input.pdb,2oc3A00_28.pdb,0.283,298,279
6B8X_single_001_density_input.pdb,1zc0A00_26.pdb,0.293,298,286
6B8X_single_001_density_input.pdb,1zc0A00_18.pdb,0.3,298,286
6B8X_single_001_density_input.pdb,1zc0A00_21.pdb,0.323,298,286
6B8X_single_001_density_input.pdb,1zc0A00_1.pdb,0.33,298,286
6B8X_single_001_density_input.pdb,2oc3A00_16.pdb,0.288,298,279
6B8X_single_001_density_input.pdb,2oc3A00_29.pdb,0.296,298,279
6B8X_single_001_density_input.pdb,2oc3A00_10.pdb,0.284,298,279
6B8X_single_001_density_input.pdb,1zc0A00_25.pdb,0.293,298,286
6B8X_single_001_density_input.pdb,1zc0A00_28.pdb,0.307,298,286
6B8X_single_001_density_input.pdb,4ge6A00_14.pdb,0.293,298,303
6B8X_single_001_density_input.pdb,2oc3A00_21.pdb,0.298,298,279
6B8X_single_001_density_input.pdb,1zc0A00_19.pdb,0.316,298,286
6B8X_single_001_density_input.pdb,2oc3A00_5.pdb,0.301,298,279
6B8X_single_001_density_input.pdb,2oc3A00_8.pdb,0.292,298,279
6B8X_single_001_density_input.pdb,1zc0A00_9.pdb,0.316,298,286
6B8X_single_001_density_input.pdb,1zc0A00_16.pdb,0.308,298,286
6B8X_single_001_density_input.pdb,1zc0A00_6.pdb,0.29,298,286
6B8X_single_001_density_input.pdb,2oc3A00_31.pdb,0.291,298,279
6B8X_single_001_density_input.pdb,1zc0A00_29.pdb,0.295,298,286
6B8X_single_001_density_input.pdb,2oc3A00_15.pdb,0.294,298,279
6B8X_single_001_density_input.pdb,2oc3A00_14.pdb,0.285,298,279
6B8X_single_001_density_input.pdb,1zc0A00_23.pdb,0.317,298,286
6B8X_single_001_density_input.pdb,1zc0A00_11.pdb,0.307,298,286
6B8X_single_001_density_input.pdb,4ge6A00_24.pdb,0.297,298,303
6B8X_single_001_density_input.pdb,1zc0A00_30.pdb,0.291,298,286
3T94_single_001_density_input.pdb,1cb0A_28.pdb,0.459,270,268
3T94_single_001_density_input.pdb,1cb0A_9.pdb,0.426,270,268
3T94_single_001_density_input.pdb,1cb0A_6.pdb,0.427,270,268
3T94_single_001_density_input.pdb,1cb0A_10.pdb,0.419,270,268
3T94_single_001_density_input.pdb,1cb0A_21.pdb,0.426,270,268
3T94_single_001_density_input.pdb,1cb0A_30.pdb,0.415,270,268
3T94_single_001_density_input.pdb,1cb0A_26.pdb,0.41,270,268
3T94_single_001_density_input.pdb,1cb0A_23.pdb,0.426,270,268
3T94_single_001_density_input.pdb,1cb0A_29.pdb,0.41,270,268
3T94_single_001_density_input.pdb,1cb0A_31.pdb,0.422,270,268
3T94_single_001_density_input.pdb,1cb0A_7.pdb,0.415,270,268
3T94_single_001_density_input.pdb,1cb0A_15.pdb,0.407,270,268
3T94_single_001_density_input.pdb,1cb0A_20.pdb,0.41,270,268
3T94_single_001_density_input.pdb,1cb0A_4.pdb,0.402,270,268
3T94_single_001_density_input.pdb,1cb0A_1.pdb,0.418,270,268
3T94_single_001_density_input.pdb,1cb0A_18.pdb,0.405,270,268
3T94_single_001_density_input.pdb,1cb0A_17.pdb,0.418,270,268
3T94_single_001_density_input.pdb,1cb0A_19.pdb,0.406,270,268
3T94_single_001_density_input.pdb,1cb0A_5.pdb,0.402,270,268
3T94_single_001_density_input.pdb,1cb0A_2.pdb,0.411,270,268
3T94_single_001_density_input.pdb,1cb0A_22.pdb,0.41,270,268
3T94_single_001_density_input.pdb,1cb0A_14.pdb,0.398,270,268
3T94_single_001_density_input.pdb,1cb0A_8.pdb,0.407,270,268
3T94_single_001_density_input.pdb,1cb0A_27.pdb,0.403,270,268
3T94_single_001_density_input.pdb,1cb0A_11.pdb,0.394,270,268
3T94_single_001_density_input.pdb,1cb0A_3.pdb,0.414,270,268
3T94_single_001_density_input.pdb,1cb0A_0.pdb,0.387,270,268
3T94_single_001_density_input.pdb,1cb0A_16.pdb,0.394,270,268
3T94_single_001_density_input.pdb,1cb0A_24.pdb,0.394,270,268
3T94_single_001_density_input.pdb,1cb0A_12.pdb,0.373,270,268
3T94_single_001_density_input.pdb,1cb0A_25.pdb,0.369,270,268
3T94_single_001_density_input.pdb,1cb0A_13.pdb,0.361,270,268
3T94_single_001_density_input.pdb,3ozbA00_11.pdb,0.362,270,241
3T94_single_001_density_input.pdb,3ozbA00_22.pdb,0.347,270,241
3T94_single_001_density_input.pdb,3ozbA00_2.pdb,0.314,270,241
3T94_single_001_density_input.pdb,3ozbA00_14.pdb,0.349,270,241
3T94_single_001_density_input.pdb,3ozbA00_12.pdb,0.347,270,241
3T94_single_001_density_input.pdb,3ozbA00_19.pdb,0.349,270,241
3T94_single_001_density_input.pdb,3ozbA00_26.pdb,0.318,270,241
3T94_single_001_density_input.pdb,3ozbA00_13.pdb,0.304,270,241
3T94_single_001_density_input.pdb,3ozbA00_15.pdb,0.328,270,241
3T94_single_001_density_input.pdb,3ozbA00_23.pdb,0.333,270,241
3T94_single_001_density_input.pdb,3ozbA00_8.pdb,0.314,270,241
3T94_single_001_density_input.pdb,3ozbA00_28.pdb,0.323,270,241
3T94_single_001_density_input.pdb,3ozbA00_29.pdb,0.318,270,241
3T94_single_001_density_input.pdb,3ozbA00_6.pdb,0.305,270,241
3T94_single_001_density_input.pdb,3ozbA00_18.pdb,0.343,270,241
3T94_single_001_density_input.pdb,3ozbA00_0.pdb,0.318,270,241
3T94_single_001_density_input.pdb,3ozbA00_30.pdb,0.314,270,241
3T94_single_001_density_input.pdb,3ozbA00_25.pdb,0.302,270,241
3T94_single_001_density_input.pdb,3ozbA00_16.pdb,0.309,270,241
3T94_single_001_density_input.pdb,3ozbA00_24.pdb,0.318,270,241
3T94_single_001_density_input.pdb,3ozbA00_5.pdb,0.342,270,241
3T94_single_001_density_input.pdb,3ozbA00_1.pdb,0.314,270,241
3T94_single_001_density_input.pdb,3ozbA00_27.pdb,0.314,270,241
3T94_single_001_density_input.pdb,3ozbA00_3.pdb,0.278,270,241
3T94_single_001_density_input.pdb,3ozbA00_4.pdb,0.298,270,241
3T94_single_001_density_input.pdb,3ozbA00_17.pdb,0.299,270,241
3T94_single_001_density_input.pdb,3ozbA00_9.pdb,0.304,270,241
3T94_single_001_density_input.pdb,3ozbA00_31.pdb,0.294,270,241
3T94_single_001_density_input.pdb,3ozbA00_21.pdb,0.314,270,241
3T94_single_001_density_input.pdb,3ozbA00_7.pdb,0.299,270,241
3T94_single_001_density_input.pdb,3ozbA00_20.pdb,0.304,270,241
3T94_single_001_density_input.pdb,3ozbA00_10.pdb,0.299,270,241
3T94_single_001_density_input.pdb,3khsD_11_reres.pdb,0.3,270,262
3T94_single_001_density_input.pdb,3khsD_11.pdb,0.3,270,262
3T94_single_001_density_input.pdb,3khsD_1_reres.pdb,0.306,270,262
3T94_single_001_density_input.pdb,3khsD_1.pdb,0.306,270,262
3T94_single_001_density_input.pdb,3khsD_22.pdb,0.296,270,262
3T94_single_001_density_input.pdb,3khsD_22_reres.pdb,0.296,270,262
3T94_single_001_density_input.pdb,3khsD_14.pdb,0.302,270,262
3T94_single_001_density_input.pdb,3khsD_14_reres.pdb,0.302,270,262
